Customer,Arrival_time,Wait,Service_Start_time,Service_Time,Service_End_time
1,0.4683567735885531,0.0,0.4683567735885531,0.29973115744628787,0.768087931034841
2,1.852273114801549,0.0,1.852273114801549,0.4706812748364672,2.3229543896380163
3,2.8389359513346246,0.0,2.8389359513346246,1.7289757518683124,4.567911703202937
4,4.244753028058348,0.3231586751445894,4.567911703202937,1.974422693056918,6.5423343962598555
5,6.074761754573352,0.4675726416865036,6.5423343962598555,0.01177399854965042,6.554108394809506
6,7.3684035670010015,0.0,7.3684035670010015,0.92518715668119,8.293590723682192
7,12.289222404640194,0.0,12.289222404640194,0.5299531226687468,12.819175527308941
8,12.743986753062282,0.0751887742466586,12.819175527308941,0.5987243402835603,13.417899867592501
9,12.827249656144074,0.5906502114484269,13.417899867592501,1.3874175006628824,14.805317368255384
10,14.131783183739065,0.6735341845163187,14.805317368255384,0.16324218370829047,14.968559551963674
11,19.402088608108205,0.0,19.402088608108205,1.2175416192670843,20.61963022737529
12,22.651952054383983,0.0,22.651952054383983,2.2311542927609724,24.883106347144956
13,25.506149874894003,0.0,25.506149874894003,1.3291746961846655,26.83532457107867
14,27.09329145356841,0.0,27.09329145356841,0.6250018749037286,27.718293328472136
15,28.191947749177885,0.0,28.191947749177885,0.5951515241767191,28.787099273354603
16,29.796898461166407,0.0,29.796898461166407,2.530995747160956,32.327894208327365
17,31.091386775888946,1.2365074324384189,32.327894208327365,3.131813748019089,35.459707956346456
18,31.590012770084712,3.869695186261744,35.459707956346456,2.043665753988088,37.50337371033454
19,33.618403378803315,3.8849703315312283,37.50337371033454,1.306175148251716,38.80954885858626
20,33.65167578760249,5.157873070983769,38.80954885858626,0.538744730949596,39.34829358953586
21,34.854433902327344,4.493859687208513,39.34829358953586,0.707688283069821,40.05598187260568
22,35.032376033220345,5.023605839385333,40.05598187260568,0.546081920396767,40.60206379300244
23,36.680953056806594,3.9211107361958497,40.60206379300244,0.3546140837501215,40.956677876752565
24,39.09944195501812,1.8572359217344427,40.956677876752565,0.34144267717088955,41.298120553923454
25,39.1759389851747,2.1221815687487506,41.298120553923454,0.19993714836848253,41.49805770229194
26,42.12737536427219,0.0,42.12737536427219,0.8062173616024686,42.93359272587466
27,43.61327948073988,0.0,43.61327948073988,2.630688096566873,46.24396757730675
28,44.45758353576732,1.7863840415394279,46.24396757730675,3.789200121534151,50.0331676988409
29,45.46302320716025,4.570144491680651,50.0331676988409,0.35754205367799125,50.39070975251889
30,48.99152299997426,1.3991867525446295,50.39070975251889,0.13296087245342517,50.52367062497231
31,50.55427631233478,0.0,50.55427631233478,1.8249295624432482,52.37920587477802
32,51.91522964450807,0.4639762302699566,52.37920587477802,0.17646780718596955,52.555673681963995
33,52.639053848409766,0.0,52.639053848409766,4.2342153974158,56.87326924582557
34,52.98211885456123,3.8911503912643397,56.87326924582557,0.3945288908239555,57.267798136649525
35,55.94867777856639,1.3191203580831328,57.267798136649525,0.2752759160984498,57.543074052747976
36,57.40719664685767,0.13587740589030517,57.543074052747976,0.30792893276382594,57.851002985511805
37,63.20536982264404,0.0,63.20536982264404,0.2785910287008445,63.48396085134488
38,64.29869062990159,0.0,64.29869062990159,2.17417017379154,66.47286080369312
39,66.88870737398722,0.0,66.88870737398722,0.23706500028825475,67.12577237427547
40,69.38364914824669,0.0,69.38364914824669,1.0379566434687748,70.42160579171546
41,71.94613105341182,0.0,71.94613105341182,0.9996629005156821,72.9457939539275
42,77.77984895768324,0.0,77.77984895768324,0.24875272468941162,78.02860168237265
43,81.88283786654745,0.0,81.88283786654745,0.8312155172924655,82.71405338383991
44,86.12021333158663,0.0,86.12021333158663,0.33445687878363395,86.45467021037027
45,86.19165808231345,0.26301212805681473,86.45467021037027,0.33698214913764285,86.7916523595079
46,86.30674416288566,0.4849081966222428,86.7916523595079,1.0952834838241816,87.88693584333208
47,86.64121187651777,1.2457239668143103,87.88693584333208,0.16246779895095761,88.04940364228304
48,89.31700308712773,0.0,89.31700308712773,1.18421030938181,90.50121339650954
49,90.15802974020096,0.3431836563085824,90.50121339650954,0.10922177029187803,90.61043516680142
50,92.28353987702349,0.0,92.28353987702349,1.1193412850239415,93.40288116204742
51,93.52200824090188,0.0,93.52200824090188,0.21998330323300952,93.74199154413489
52,95.13940465356188,0.0,95.13940465356188,5.056430331187844,100.19583498474972
53,103.47242565224889,0.0,103.47242565224889,0.5332006814842805,104.00562633373316
54,105.06067944323534,0.0,105.06067944323534,1.8908567505089124,106.95153619374426
55,114.61587761966295,0.0,114.61587761966295,0.31730085752054826,114.9331784771835
56,115.23354101357265,0.0,115.23354101357265,0.07060309380735386,115.30414410738
57,116.95440706292975,0.0,116.95440706292975,0.637741724130779,117.59214878706052
58,117.08183098686911,0.5103178001914159,117.59214878706052,0.442484889645389,118.03463367670591
59,117.29074933940771,0.7438843372981978,118.03463367670591,0.4056743540377477,118.44030803074365
60,118.6390740399809,0.0,118.6390740399809,0.8603187101222656,119.49939275010317
61,120.43918378863533,0.0,120.43918378863533,0.1570909092217275,120.59627469785706
62,124.0114347758892,0.0,124.0114347758892,0.2859498377080331,124.29738461359723
63,125.42120725071051,0.0,125.42120725071051,0.3124701167767952,125.7336773674873
64,126.09221627431486,0.0,126.09221627431486,1.0481266812281944,127.14034295554306
65,130.45812757819934,0.0,130.45812757819934,0.627236454550476,131.08536403274982
66,130.8457596974666,0.239604335283218,131.08536403274982,0.046332819664456695,131.13169685241428
67,132.2052669042346,0.0,132.2052669042346,1.8424038672761593,134.04767077151075
